date,pub_count,close_mean,ret_1d,ret_fwd_5d,volume_sum,vol_4w,vol_growth,vol_z,pub_4w,pub_growth,pub_z,y_up_5d,top1,top2,top3,top4,top5,top1_count,top2_count,top3_count,top4_count,top5_count,total_publications,top1_share,top2_share,top3_share,top4_share,top5_share,top_list
2024-11-13,32,160.03666666666666,-0.0029903436818607,-0.0292641269709025,6312015,141636732.0,-0.1812970133754893,-0.3682171803793106,293.0,2.2,1.5768894724149551,0,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,Health disparities and outcomes,Healthcare Systems and Public Health,32.0,3.0,3.0,2.0,2.0,52,1.0,0.09375,0.09375,0.0625,0.0625,Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Health disparities and outcomes|Healthcare Systems and Public Health
2024-11-14,17,157.36,-0.0167253337776758,-0.0043001186239622,8867338,144847340.0,0.4048347476994272,1.0273996241661696,296.0,-0.46875,0.34692561717619946,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Economic Growth and Productivity,Health disparities and outcomes,"Aging, Elder Care, and Social Issues",17.0,3.0,2.0,2.0,1.0,33,1.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Economic Growth and Productivity|Health disparities and outcomes|Aging, Elder Care, and Social Issues"
2024-11-15,8,154.1233333333333,-0.0205685477037791,0.0180807578346344,15779289,150606048.0,0.7794843277655594,3.0719934060854097,291.0,-0.5294117647058824,-0.39097101463031364,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Global Public Health Policies and Epidemiology,Economic and Technological Developments in Russia,8.0,3.0,3.0,2.0,1.0,21,1.0,0.375,0.375,0.25,0.125,Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Global Public Health Policies and Epidemiology|Economic and Technological Developments in Russia
2024-11-18,17,154.14,0.0001081385037955,0.0275290861121924,8636719,154220869.0,-0.452654742555257,0.7689553551605756,295.0,1.125,0.3534894544051807,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Policy and Management,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",17.0,4.0,4.0,3.0,2.0,37,1.0,0.23529411764705882,0.23529411764705882,0.17647058823529413,0.11764705882352941,"Global Health Care Issues|Health disparities and outcomes|Healthcare Policy and Management|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management"
2024-11-19,10,153.65,-0.003178928247048,0.0364898579021586,7024820,155876389.0,-0.1866332573747045,-0.0193255481602049,295.0,-0.4117647058823529,-0.23095347920017528,1,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,"Retirement, Disability, and Employment",Agricultural risk and resilience,10.0,2.0,2.0,2.0,1.0,23,1.0,0.2,0.2,0.2,0.1,"Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Retirement, Disability, and Employment|Agricultural risk and resilience"
2024-11-20,12,155.35333333333332,0.0110858010630219,0.0305110929923186,9942394,160494751.0,0.4153236666562274,1.287440472262188,296.0,0.19999999999999996,-0.0613518860735571,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Employment and Welfare Studies,"Energy, Environment, Economic Growth",12.0,4.0,4.0,2.0,1.0,29,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.08333333333333333,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Employment and Welfare Studies|Energy, Environment, Economic Growth"
2024-11-21,15,156.6833333333333,0.0085611294683087,0.024933517710882,8430539,163544861.0,-0.1520614652768739,0.6480249687864229,306.0,0.25,0.19281176520990903,1,Global Health Care Issues,Health disparities and outcomes,"Birth, Development, and Health",Economic Issues in Ukraine,Employment and Welfare Studies,15.0,2.0,1.0,1.0,1.0,29,1.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,"Global Health Care Issues|Health disparities and outcomes|Birth, Development, and Health|Economic Issues in Ukraine|Employment and Welfare Studies"
2024-11-22,14,156.91,0.0014466546112117,0.0214347927686782,6800409,164793021.0,-0.1933601161206892,-0.1771473021687374,313.0,-0.06666666666666665,0.10588453230757615,1,Global Health Care Issues,Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management",Air Quality and Health Impacts,Employment and Welfare Studies,14.0,2.0,2.0,1.0,1.0,30,1.0,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,"Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Air Quality and Health Impacts|Employment and Welfare Studies"
2024-11-25,17,158.38333333333333,0.0093896713615022,0.0087972219299168,7315847,167032744.0,0.0757951470271862,0.1054342193643528,260.0,0.2142857142857142,0.36275971023555864,1,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Health disparities and outcomes,Healthcare Policy and Management,Healthcare Systems and Reforms,17.0,5.0,4.0,3.0,2.0,43,1.0,0.29411764705882354,0.23529411764705882,0.17647058823529413,0.11764705882352941,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Health disparities and outcomes|Healthcare Policy and Management|Healthcare Systems and Reforms"
2024-11-26,8,159.2566666666667,0.0055140481953068,0.0040186700713731,6563809,165995817.0,-0.1027957528362745,-0.316148269673276,259.0,-0.5294117647058824,-0.41988856097979077,1,Global Health Care Issues,Blood Pressure and Hypertension Studies,Employment and Welfare Studies,Global Healthcare and Medical Tourism,"Health Systems, Economic Evaluations, Quality of Life",8.0,1.0,1.0,1.0,1.0,15,1.0,0.125,0.125,0.125,0.125,"Global Health Care Issues|Blood Pressure and Hypertension Studies|Employment and Welfare Studies|Global Healthcare and Medical Tourism|Health Systems, Economic Evaluations, Quality of Life"
2024-11-27,9,160.09333333333333,0.0052535738953889,-0.0126801032730905,6341498,162619755.0,-0.033869206127113,-0.4476428995346072,260.0,0.125,-0.3289307745657887,0,Global Health Care Issues,Global Maternal and Child Health,COVID-19 epidemiological studies,Employment and Welfare Studies,Global trade and economics,9.0,2.0,1.0,1.0,1.0,19,1.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,Global Health Care Issues|Global Maternal and Child Health|COVID-19 epidemiological studies|Employment and Welfare Studies|Global trade and economics
2024-11-29,27,160.59,0.0031023569584409,-0.0197812234053594,3677235,159331439.0,-0.4201314894367229,-2.458281471932268,281.0,2.0,1.2411932686915983,0,Global Health Care Issues,Employment and Welfare Studies,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",27.0,8.0,5.0,3.0,3.0,61,1.0,0.2962962962962963,0.18518518518518517,0.1111111111111111,0.1111111111111111,"Global Health Care Issues|Employment and Welfare Studies|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management"
2024-12-02,132,160.2733333333333,-0.001971895302738,-0.0155567572064388,6690538,158815093.0,0.8194480363642791,-0.1837589803511193,385.0,3.8888888888888893,6.284128781405552,0,Global Health Care Issues,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Policy and Management,Health disparities and outcomes,Healthcare Systems and Reforms,132.0,22.0,19.0,16.0,14.0,289,1.0,0.16666666666666666,0.14393939393939395,0.12121212121212122,0.10606060606060606,"Global Health Care Issues|Health Systems, Economic Evaluations, Quality of Life|Healthcare Policy and Management|Health disparities and outcomes|Healthcare Systems and Reforms"
2024-12-03,17,159.77666666666667,-0.0030988727590365,-0.0164813385350384,4630085,156659667.0,-0.3079652189405396,-1.5500761102699734,390.0,-0.8712121212121212,0.11721521890850256,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,"Health Systems, Economic Evaluations, Quality of Life",Agricultural risk and resilience,17.0,3.0,2.0,2.0,1.0,39,1.0,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.058823529411764705,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Agricultural risk and resilience"
2024-12-04,2,159.89666666666668,0.0007510483383055,-0.029310596426859,5982017,157412464.0,0.2919885920020906,-0.5750585237364033,385.0,-0.8823529411764706,-0.6855935806180312,0,Global Health Care Issues,COVID-19 epidemiological studies,"Financial Literacy, Pension, Retirement Analysis","Gender, Labor, and Family Dynamics","Health Systems, Economic Evaluations, Quality of Life",2.0,1.0,1.0,1.0,1.0,6,1.0,0.5,0.5,0.5,0.5,"Global Health Care Issues|COVID-19 epidemiological studies|Financial Literacy, Pension, Retirement Analysis|Gender, Labor, and Family Dynamics|Health Systems, Economic Evaluations, Quality of Life"
2024-12-05,7,158.06333333333336,-0.0114657382893117,-0.0269090448976152,9392019,155468650.0,0.5700421780814062,1.120958781854145,384.0,2.5,-0.41072532588759425,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management","Retirement, Disability, and Employment",Child Nutrition and Water Access,Energy and Environment Impacts,7.0,2.0,2.0,1.0,1.0,15,1.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Retirement, Disability, and Employment|Child Nutrition and Water Access|Energy and Environment Impacts"
2024-12-06,9,157.41333333333333,-0.0041122756700903,-0.0235685244790783,7264740,152980219.0,-0.2264985835314004,0.1452969308331421,386.0,0.2857142857142858,-0.29912965201917957,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,"Aging, Elder Care, and Social Issues",Employment and Welfare Studies,9.0,2.0,2.0,1.0,1.0,22,1.0,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Aging, Elder Care, and Social Issues|Employment and Welfare Studies"
2024-12-09,14,157.78,0.0023293240725055,-0.0353656990746608,7084593,150893129.0,-0.0247974462953939,0.0489546916015831,392.0,0.5555555555555556,-0.024079862046264933,0,Global Health Care Issues,Healthcare Systems and Reforms,Health disparities and outcomes,Employment and Welfare Studies,"Financial Literacy, Pension, Retirement Analysis",14.0,4.0,2.0,1.0,1.0,27,1.0,0.2857142857142857,0.14285714285714285,0.07142857142857142,0.07142857142857142,"Global Health Care Issues|Healthcare Systems and Reforms|Health disparities and outcomes|Employment and Welfare Studies|Financial Literacy, Pension, Retirement Analysis"
2024-12-10,6,157.14333333333337,-0.0040351544344444,-0.0326029315062681,7561383,152007061.0,0.0672995611745093,0.2974681469129545,383.0,-0.5714285714285714,-0.46311732244099346,0,Global Health Care Issues,Agricultural risk and resilience,"Financial Literacy, Pension, Retirement Analysis","Health Systems, Economic Evaluations, Quality of Life",Healthcare Systems and Reforms,6.0,1.0,1.0,1.0,1.0,11,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Agricultural risk and resilience|Financial Literacy, Pension, Retirement Analysis|Health Systems, Economic Evaluations, Quality of Life|Healthcare Systems and Reforms"
2024-12-11,10,155.21,-0.0123029930212332,-0.0383351588170866,7745246,152042533.0,0.0243160543514326,0.3874640555483913,383.0,0.6666666666666667,-0.23853935552877084,0,Global Health Care Issues,Global Maternal and Child Health,Healthcare Systems and Reforms,Employment and Welfare Studies,Health disparities and outcomes,10.0,3.0,3.0,1.0,1.0,20,1.0,0.3,0.3,0.1,0.1,Global Health Care Issues|Global Maternal and Child Health|Healthcare Systems and Reforms|Employment and Welfare Studies|Health disparities and outcomes
2024-12-12,12,153.80999999999997,-0.0090200373687264,-0.0363868842511321,6651691,152382209.0,-0.1411904799408566,-0.2047415494163832,363.0,0.19999999999999996,-0.1254961019163092,0,Global Health Care Issues,Employment and Welfare Studies,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Systems and Reforms,Migration and Labor Dynamics,12.0,3.0,2.0,2.0,2.0,29,1.0,0.25,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Employment and Welfare Studies|Health Systems, Economic Evaluations, Quality of Life|Healthcare Systems and Reforms|Migration and Labor Dynamics"
2024-12-13,7,153.70333333333335,-0.0006934963049647,-0.023681984775867,8385717,151900588.0,0.260689499858006,0.6978134232387874,353.0,-0.41666666666666663,-0.4046309361804087,0,Global Health Care Issues,Healthcare Systems and Reforms,COVID-19 Pandemic Impacts,Employment and Welfare Studies,"Financial Literacy, Pension, Retirement Analysis",7.0,2.0,1.0,1.0,1.0,16,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,"Global Health Care Issues|Healthcare Systems and Reforms|COVID-19 Pandemic Impacts|Employment and Welfare Studies|Financial Literacy, Pension, Retirement Analysis"
2024-12-16,7,152.20000000000002,-0.00978074645963,-0.0062417871222076,10230635,146351934.0,0.2200071860283383,1.4499680936885964,352.0,0.0,-0.4014753052874159,0,Global Health Care Issues,Healthcare Systems and Reforms,Air Quality and Health Impacts,Employment and Welfare Studies,HIV/AIDS Impact and Responses,7.0,2.0,1.0,1.0,1.0,12,1.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,Global Health Care Issues|Healthcare Systems and Reforms|Air Quality and Health Impacts|Employment and Welfare Studies|HIV/AIDS Impact and Responses
2024-12-17,9,152.02,-0.0011826544021025,-0.0014471780028945,11236762,148951977.0,0.0983445309113266,1.7657939623426218,344.0,0.2857142857142858,-0.28515523703126344,0,Global Health Care Issues,Climate Change and Health Impacts,"Financial Literacy, Pension, Retirement Analysis",German Economic Analysis & Policies,Global Health Workforce Issues,9.0,1.0,1.0,1.0,1.0,16,1.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,"Global Health Care Issues|Climate Change and Health Impacts|Financial Literacy, Pension, Retirement Analysis|German Economic Analysis & Policies|Global Health Workforce Issues"
2024-12-18,18,149.26,-0.0181555058544929,0.0197418375094913,15311394,157238551.0,0.362616205629344,2.7805648719343767,352.0,1.0,0.23066798471157543,1,Global Health Care Issues,Health disparities and outcomes,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",18.0,3.0,2.0,2.0,2.0,39,1.0,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,"Global Health Care Issues|Health disparities and outcomes|Health Systems, Economic Evaluations, Quality of Life|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management"
2024-12-19,15,148.21333333333334,-0.0070123721470364,0.0215230298668585,14521318,161817475.0,-0.0516005270323525,2.4634054862136443,355.0,-0.16666666666666663,0.05672776483413582,1,Global Health Care Issues,Fiscal Policy and Economic Growth,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",15.0,3.0,3.0,3.0,3.0,38,1.0,0.2,0.2,0.2,0.2,"Global Health Care Issues|Fiscal Policy and Economic Growth|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management"
2024-12-20,11,150.06333333333333,0.0124820079165166,-0.0035540549545747,13068681,166455617.0,-0.1000347902304735,2.0203547343506223,351.0,-0.2666666666666667,-0.17508036104130736,0,Global Health Care Issues,Global Maternal and Child Health,Health disparities and outcomes,Healthcare Systems and Reforms,Employment and Welfare Studies,11.0,2.0,2.0,2.0,1.0,21,1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,Global Health Care Issues|Global Maternal and Child Health|Health disparities and outcomes|Healthcare Systems and Reforms|Employment and Welfare Studies
2024-12-23,16,151.25,0.0079077722739286,-0.0093002754820936,8817583,168472791.0,-0.3252889867003411,0.6500901046621476,353.0,0.4545454545454546,0.11722273948346558,0,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,16.0,3.0,3.0,3.0,2.0,41,1.0,0.1875,0.1875,0.1875,0.125,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies"
2024-12-24,4,151.79999999999998,0.0036363636363634,-0.0118357487922704,3688469,164845413.0,-0.5816916041504798,-2.287601516378495,340.0,-0.75,-0.5856460996822648,0,Global Health Care Issues,Global Maternal and Child Health,Healthcare Systems and Reforms,Global Health Workforce Issues,Healthcare Policy and Management,4.0,2.0,2.0,1.0,1.0,12,1.0,0.5,0.5,0.25,0.25,Global Health Care Issues|Global Maternal and Child Health|Healthcare Systems and Reforms|Global Health Workforce Issues|Healthcare Policy and Management
2024-12-26,13,152.20666666666668,0.0026789635485289,-0.0047961105514433,5187848,163469452.0,0.4065044331401457,-1.1177330407622328,345.0,2.25,-0.05224515654212702,0,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management",Economic Growth and Productivity,Employment and Welfare Studies,Healthcare Policy and Management,13.0,3.0,2.0,2.0,2.0,31,1.0,0.23076923076923078,0.15384615384615385,0.15384615384615385,0.15384615384615385,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Economic Growth and Productivity|Employment and Welfare Studies|Healthcare Policy and Management"
2024-12-27,10,151.40333333333334,-0.0052779116114055,0.0008366174236587,6510459,163638413.0,0.2549440538735907,-0.3483718745654021,346.0,-0.23076923076923073,-0.2295846885398032,1,Global Health Care Issues,Healthcare Policy and Management,Healthcare Systems and Reforms,Health disparities and outcomes,Air Quality and Health Impacts,10.0,3.0,3.0,2.0,1.0,30,1.0,0.3,0.3,0.2,0.1,Global Health Care Issues|Healthcare Policy and Management|Healthcare Systems and Reforms|Health disparities and outcomes|Air Quality and Health Impacts
2024-12-30,17,149.53,-0.0123731313709517,0.0188590918210391,7618630,167579808.0,0.1702139588007543,0.1842678985778503,336.0,0.7,0.18892572776557026,1,Global Health Care Issues,"Insurance, Mortality, Demography, Risk Management","Health Systems, Economic Evaluations, Quality of Life",Health disparities and outcomes,Healthcare Systems and Reforms,17.0,4.0,2.0,2.0,2.0,35,1.0,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.11764705882352941,"Global Health Care Issues|Insurance, Mortality, Demography, Risk Management|Health Systems, Economic Evaluations, Quality of Life|Health disparities and outcomes|Healthcare Systems and Reforms"
2024-12-31,26,149.84333333333333,0.0020954546467821,0.0217560563254954,7433002,168322272.0,-0.0243650105071384,0.099409221571776,230.0,0.5294117647058822,0.7250728893533271,1,Global Health Care Issues,Health disparities and outcomes,Healthcare Systems and Reforms,Employment and Welfare Studies,"Gender, Labor, and Family Dynamics",26.0,3.0,3.0,2.0,2.0,55,1.0,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.07692307692307693,"Global Health Care Issues|Health disparities and outcomes|Healthcare Systems and Reforms|Employment and Welfare Studies|Gender, Labor, and Family Dynamics"
2025-01-02,416,150.00333333333333,0.0010677819055457,0.0139108019821783,9662438,173354625.0,0.299937494971749,0.9891713405078144,629.0,15.0,8.525538972682188,1,Global Health Care Issues,Healthcare Systems and Reforms,Healthcare Policy and Management,"Insurance, Mortality, Demography, Risk Management",Health disparities and outcomes,416.0,59.0,57.0,42.0,39.0,933,1.0,0.14182692307692307,0.13701923076923078,0.10096153846153846,0.09375,"Global Health Care Issues|Healthcare Systems and Reforms|Healthcare Policy and Management|Insurance, Mortality, Demography, Risk Management|Health disparities and outcomes"
2025-01-03,8,151.47666666666666,0.0098220039554677,0.0166802367801421,8834381,176206989.0,-0.0856985576518059,0.6754828162563415,635.0,-0.9807692307692307,-0.22911562773051714,1,Global Health Care Issues,Healthcare Systems and Reforms,Efficiency Analysis Using DEA,"Financial Literacy, Pension, Retirement Analysis",Global Maternal and Child Health,8.0,2.0,1.0,1.0,1.0,18,1.0,0.25,0.125,0.125,0.125,"Global Health Care Issues|Healthcare Systems and Reforms|Efficiency Analysis Using DEA|Financial Literacy, Pension, Retirement Analysis|Global Maternal and Child Health"
2025-01-06,9,151.53,0.0003520894307154,0.0055654545854506,9228629,176043599.0,0.0446265561786389,0.8180677797658424,637.0,0.125,-0.20630020879374614,1,Global Health Care Issues,Healthcare Systems and Reforms,Global Maternal and Child Health,Healthcare Policy and Management,"Birth, Development, and Health",9.0,4.0,2.0,2.0,1.0,27,1.0,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.1111111111111111,"Global Health Care Issues|Healthcare Systems and Reforms|Global Maternal and Child Health|Healthcare Policy and Management|Birth, Development, and Health"
2025-01-07,3,152.35,0.0054114696759717,0.0045728038507821,13389678,182168537.0,0.4508848497431199,2.040575856925105,631.0,-0.6666666666666667,-0.3344033245283582,1,Global Health Care Issues,Energy and Environment Impacts,Global Maternal and Child Health,HIV/AIDS Impact and Responses,Health and Well-being Studies,3.0,1.0,1.0,1.0,1.0,9,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,Global Health Care Issues|Energy and Environment Impacts|Global Maternal and Child Health|HIV/AIDS Impact and Responses|Health and Well-being Studies
2025-01-08,5,153.10333333333332,0.0049447544032381,0.0037447475561169,8338544,183422488.0,-0.377240886599364,0.4325576430181104,622.0,0.6666666666666667,-0.2890163842196884,1,Global Health Care Issues,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Healthcare Policy and Management,Liver Disease Diagnosis and Treatment,5.0,2.0,2.0,1.0,1.0,11,1.0,0.4,0.4,0.2,0.2,"Global Health Care Issues|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Healthcare Policy and Management|Liver Disease Diagnosis and Treatment"
2025-01-10,14,152.09,-0.0066186235875551,0.0038354483091151,11121293,186982398.0,0.3337212108013101,1.3898126417378518,630.0,1.7999999999999998,-0.09114819160720966,1,Global Health Care Issues,Healthcare Systems and Reforms,Health disparities and outcomes,Healthcare Policy and Management,Employment and Welfare Studies,14.0,4.0,3.0,3.0,2.0,35,1.0,0.2857142857142857,0.21428571428571427,0.21428571428571427,0.14285714285714285,Global Health Care Issues|Healthcare Systems and Reforms|Health disparities and outcomes|Healthcare Policy and Management|Employment and Welfare Studies
2025-01-13,5,154.00333333333333,0.0125802704538979,0.0086794658124282,10174107,189411259.0,-0.0851686939639122,1.075377183788125,625.0,-0.6428571428571428,-0.2879039716356196,1,Global Health Care Issues,Asthma and respiratory diseases,Health disparities and outcomes,"Retirement, Disability, and Employment",,5.0,1.0,1.0,1.0,,8,1.0,0.2,0.2,0.2,,"Global Health Care Issues|Asthma and respiratory diseases|Health disparities and outcomes|Retirement, Disability, and Employment"
2025-01-14,4,152.3733333333333,-0.0105841864894699,0.0176540077003852,11064735,193824303.0,0.0875386901277921,1.3384445352071312,617.0,-0.19999999999999996,-0.3082352217151173,1,Global Health Care Issues,Health disparities and outcomes,"Insurance, Mortality, Demography, Risk Management","Health Systems, Economic Evaluations, Quality of Life",,4.0,3.0,2.0,1.0,,10,1.0,0.75,0.5,0.25,,"Global Health Care Issues|Health disparities and outcomes|Insurance, Mortality, Demography, Risk Management|Health Systems, Economic Evaluations, Quality of Life"
2025-01-15,8,153.04666666666665,0.0044189709485473,0.0258744609487304,12323723,197762309.0,0.1137838366666712,1.6663035560238386,618.0,1.0,-0.21790500960051176,1,Global Health Care Issues,Healthcare Policy and Management,Economic Growth and Productivity,Fiscal Policy and Economic Growth,Global Public Health Policies and Epidemiology,8.0,2.0,1.0,1.0,1.0,17,1.0,0.25,0.125,0.125,0.125,Global Health Care Issues|Healthcare Policy and Management|Economic Growth and Productivity|Fiscal Policy and Economic Growth|Global Public Health Policies and Epidemiology
2025-01-16,4,153.67666666666668,0.0041163915145707,0.0233390451814416,8942811,196474485.0,-0.2743417715571828,0.592757889309117,615.0,-0.5,-0.30569724879077326,1,Global Health Care Issues,Healthcare Systems and Reforms,Global Health Workforce Issues,Health disparities and outcomes,Healthcare Policy and Management,4.0,2.0,1.0,1.0,1.0,10,1.0,0.5,0.25,0.25,0.25,Global Health Care Issues|Healthcare Systems and Reforms|Global Health Workforce Issues|Health disparities and outcomes|Healthcare Policy and Management
2025-01-17,1,152.67333333333332,-0.0065288592933215,0.0516789659840184,8214484,193452207.0,-0.0814427365176341,0.3067407323332046,607.0,-0.75,-0.37098119828997056,1,"Financial Literacy, Pension, Retirement Analysis",Fiscal Policy and Economic Growth,Global Health Care Issues,,,1.0,1.0,1.0,,,3,1.0,1.0,1.0,,,"Financial Literacy, Pension, Retirement Analysis|Fiscal Policy and Economic Growth|Global Health Care Issues"
2025-01-21,10,155.34,0.0174664861796429,0.0275524655594181,8202022,186342835.0,-0.0015170764225725,0.2999338766137622,599.0,9.0,-0.16663435524953155,1,Global Health Care Issues,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",Employment and Welfare Studies,"Financial Literacy, Pension, Retirement Analysis",10.0,2.0,2.0,1.0,1.0,19,1.0,0.2,0.2,0.1,0.1,"Global Health Care Issues|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management|Employment and Welfare Studies|Financial Literacy, Pension, Retirement Analysis"
2025-01-22,6,155.06333333333336,-0.0017810394403672,0.0235817622906766,8812863,180634380.0,0.0744744405708739,0.5390174642749285,590.0,-0.4,-0.2561203686703448,1,Global Health Care Issues,Blood Pressure and Hypertension Studies,Employment and Welfare Studies,Global Cancer Incidence and Screening,Global Health Workforce Issues,6.0,1.0,1.0,1.0,1.0,15,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,Global Health Care Issues|Blood Pressure and Hypertension Studies|Employment and Welfare Studies|Global Cancer Incidence and Screening|Global Health Workforce Issues
2025-01-23,3,157.0066666666667,0.0125325135965947,0.0220797418368645,8945502,176511201.0,0.0150506140853432,0.5856407703886782,582.0,-0.5,-0.3228045101101172,1,Global Health Care Issues,Healthcare Policy and Management,Health Services Management and Policy,"Health Systems, Economic Evaluations, Quality of Life",Healthcare Systems and Challenges,3.0,2.0,1.0,1.0,1.0,9,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,"Global Health Care Issues|Healthcare Policy and Management|Health Services Management and Policy|Health Systems, Economic Evaluations, Quality of Life|Healthcare Systems and Challenges"
2025-01-24,6,157.26333333333335,0.0016347501167677,0.0167447381250132,9254833,176948451.0,0.0345795015193111,0.6960523925554727,572.0,1.0,-0.25262726186283524,1,Global Health Care Issues,Global Maternal and Child Health,Health disparities and outcomes,Healthcare Systems and Reforms,"Insurance, Mortality, Demography, Risk Management",6.0,1.0,1.0,1.0,1.0,11,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,"Global Health Care Issues|Global Maternal and Child Health|Health disparities and outcomes|Healthcare Systems and Reforms|Insurance, Mortality, Demography, Risk Management"
2025-01-27,11,160.56333333333336,0.0209839123338775,-0.0011418131993607,13135424,186395406.0,0.4193042705362702,1.8481995820897188,579.0,0.8333333333333333,-0.13667870315224231,0,Global Health Care Issues,"Aging, Elder Care, and Social Issues",COVID-19 and healthcare impacts,Employment and Welfare Studies,"Financial Literacy, Pension, Retirement Analysis",11.0,1.0,1.0,1.0,1.0,22,1.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,"Global Health Care Issues|Aging, Elder Care, and Social Issues|COVID-19 and healthcare impacts|Employment and Welfare Studies|Financial Literacy, Pension, Retirement Analysis"
2025-01-28,4,159.62,-0.00587514791671,0.0023388881927912,10358261,191565819.0,-0.2114254553183817,1.0372301539657398,570.0,-0.6363636363636364,-0.29723895119925214,1,Global Health Care Issues,Health disparities and outcomes,COVID-19 and healthcare impacts,"Insurance, Mortality, Demography, Risk Management",,4.0,2.0,1.0,1.0,,8,1.0,0.5,0.25,0.25,,"Global Health Care Issues|Health disparities and outcomes|COVID-19 and healthcare impacts|Insurance, Mortality, Demography, Risk Management"
